state,county,fips,year,registration,turnout,per_registration,lawchange,presyear,population,medfaminc,per_HSeducation,per_AfricanAmerican,per_urban,median_age,log_inc,log_pop
NY,ALBANY,36001,1950,5,.84371501,.72532189,0,0,239386,3747.2236,.37599999,.025999999,.83499998,34.400002,8.2287703,12.385833
NY,ALBANY,36001,1952,5,.92606139,.70124483,0,1,246094,4290.4834,.38939998,.028999999,.83499998,34.18,8.3641548,12.413469
NY,ALBANY,36001,1954,5,.83282399,.70612246,0,0,252802,4845.3887,.40279999,.031999998,.83499998,33.959999,8.4857826,12.440362
NY,ALBANY,36001,1956,5,.89676654,.6987952,0,1,259510,5396.4766,.41619998,.035,.83499998,33.740002,8.5935011,12.466551
NY,ALBANY,36001,1958,5,.80681133,.6987952,0,0,266218,5939.0278,.4296,.037999999,.83499998,33.52,8.6893005,12.492071
NY,ALBANY,36001,1960,5,.8812629,.68235296,0,1,272926,6489.0449,.44299999,.040999997,.83499998,33.299999,8.7778702,12.516956
NY,ALBANY,36001,1962,5,.76183784,.66412216,0,0,275689.19,7488.8179,.46720001,.0436,.83940005,32.799999,8.9211664,12.527029
NY,ALBANY,36001,1964,5,.80206478,.65909094,0,1,278452.41,8486.9395,.4914,.0462,.84379995,32.299999,9.0462837,12.537003
NY,ALBANY,36001,1966,5,.710325,.64285713,0,0,278452.41,8473.2891,.4914,.0462,.84379995,32.299999,9.0446739,12.537003
NY,ALBANY,36001,1968,1,.72377634,1,1,1,283978.81,10453.952,.53979999,.051399998,.85259992,31.299999,9.254735,12.556655
NY,ALBANY,36001,1970,1,.66327316,1,0,0,286742,11415.45,.56400001,.054000001,.85699999,30.799999,9.3427229,12.566339
NY,ALBANY,36001,1972,1,.75701886,1,0,1,286575.41,13501.498,.53827947,.056353137,.85784286,30.9,9.5105562,12.565757
NY,ALBANY,36001,1974,1,.61467189,1,0,0,286408.81,15571.409,.51255888,.058706272,.85868585,31,9.6531916,12.565175
NY,ALBANY,36001,1976,1,.68082249,1,0,1,286242.19,17610.797,.48683837,.061059408,.85952872,31.099998,9.7762671,12.564593
NY,ALBANY,36001,1978,1,.56516778,1,0,0,286075.59,19654.621,.46111783,.063412547,.86037171,31.199999,9.8860674,12.564012
NY,ALBANY,36001,1980,1,.66605765,1,0,1,285909,21687.475,.43539727,.065765679,.86121458,31.299999,9.9844904,12.563429
NY,ALBANY,36001,1982,1,.59536177,1,0,0,287246,25769.703,.51011777,.069497377,,,10.156955,12.568094
NY,ALBANY,36001,1984,1,.67822641,1,0,1,288583,29873.475,.58483839,.073229067,,,10.304727,12.572738
NY,ALBANY,36001,1986,1,.53104138,1,0,0,289920,34794.605,.65955895,.076960765,,,10.457217,12.57736
NY,ALBANY,36001,1988,1,.64865947,1,0,1,291257,38084.422,.73427945,.080692463,,,10.547561,12.581962
NY,ALBANY,36001,1990,1,.48277038,1,0,0,292594,42173.582,.80900002,.084424153,,,10.649549,12.586541
NY,ALBANY,36001,1992,1,.67663985,1,0,1,293382.41,48209.531,.69529188,.09495575,,,10.783312,12.589232
NY,ALBANY,36001,1994,1,.53207684,1,0,0,293776.59,51231.426,.63843781,.10022154,,,10.844109,12.590575
NY,ALBANY,36001,1996,1,.61609995,1,0,1,294170.81,54257.313,.58158374,.10548735,,,10.901493,12.591916
NY,ALBANY,36001,1998,1,.48744634,1,0,0,294565,55890.156,.52472967,.11075315,,36.799999,10.931144,12.593255
NY,ALBANY,36001,2000,1,.62948948,1,0,1,294565,55890.156,.52472967,.11075315,,36.799999,10.931144,12.593255
NY,ALLEGANY,36003,1950,5,.55422318,.13953489,0,0,43784,2928.8767,.39200002,.0040000002,.2,28.9,7.9823742,10.687024
NY,ALLEGANY,36003,1952,5,.76799035,.13953489,0,1,43822.801,3349.8638,.40060002,.0036000002,.2,28.6,8.1166754,10.687909
NY,ALLEGANY,36003,1954,5,.59425628,.13953489,0,0,43861.602,3779.9636,.40920001,.0031999999,.2,28.299999,8.2374697,10.688794
NY,ALLEGANY,36003,1956,5,.76337463,.15909091,0,1,43900.398,4207.0947,.41779998,.0027999999,.2,28,8.3445272,10.689679
NY,ALLEGANY,36003,1958,5,.59158081,.15909091,0,0,43939.199,4627.582,.42640001,.0024000001,.2,27.699999,8.4397898,10.690562
NY,ALLEGANY,36003,1960,5,.78020483,.15909091,0,1,43978,5053.8975,.435,.0020000001,.2,27.4,8.527915,10.691444
NY,ALLEGANY,36003,1962,5,.5221253,.15909091,0,0,44474,5856.8403,.46360001,.0022,.20100001,26.84,8.6753654,10.70266
NY,ALLEGANY,36003,1964,5,.64511979,.15909091,0,1,44970,6658.4463,.49220002,.0024000001,.20200001,26.280001,8.8036413,10.713751
NY,ALLEGANY,36003,1966,5,.48772776,.10416666,0,0,44970,6647.7368,.49220002,.0024000001,.20200001,26.280001,8.8020315,10.713751
NY,ALLEGANY,36003,1968,1,.55881268,1,1,1,45962,8238.5273,.54939997,.0027999999,.204,25.16,9.0165768,10.73557
NY,ALLEGANY,36003,1970,1,.4569208,1,0,0,46458,9011.1064,.57800001,.003,.205,24.6,9.1062136,10.746304
NY,ALLEGANY,36003,1972,1,.5549401,1,0,1,47514.801,10532.751,.53302735,.0030687025,.2054982,24.960001,9.2622452,10.768797
NY,ALLEGANY,36003,1974,1,.40721616,1,0,0,48571.602,12042.514,.48805469,.003137405,.20599639,25.32,9.3961983,10.790794
NY,ALLEGANY,36003,1976,1,.51090026,1,0,1,49628.398,13529.372,.443082,.0032061073,.20649461,25.68,9.5126181,10.812319
NY,ALLEGANY,36003,1978,1,.36221659,1,0,0,50685.199,15020.244,.39810935,.0032748098,.20699282,26.039999,9.6171541,10.833389
NY,ALLEGANY,36003,1980,1,.47543326,1,0,1,51742,16503.178,.35313672,.0033435121,.20749101,26.4,9.7113085,10.854025
NY,ALLEGANY,36003,1982,1,.38865119,1,0,0,51487.602,18867.416,.43630937,.0038834484,,,9.845192,10.849096
NY,ALLEGANY,36003,1984,1,.51834929,1,0,1,51233.199,21249.838,.51948202,.004423385,,,9.9641047,10.844143
NY,ALLEGANY,36003,1986,1,.37225506,1,0,0,50978.801,24201.93,.6026547,.0049633211,,,10.094188,10.839165
NY,ALLEGANY,36003,1988,1,.47154075,1,0,1,50724.398,26020.055,.68582731,.0055032577,,,10.166623,10.834163
NY,ALLEGANY,36003,1990,1,.30802107,1,0,0,50470,28395.057,.76899999,.0060431939,,,10.25397,10.829134
NY,ALLEGANY,36003,1992,1,.49909893,1,0,1,50252.801,32616.004,.64070177,.006518139,,,10.392558,10.824821
NY,ALLEGANY,36003,1994,1,.3774249,1,0,0,50144.199,34729.02,.57655263,.0067556114,,,10.455331,10.822659
NY,ALLEGANY,36003,1996,1,.47058296,1,0,1,50035.602,36844.691,.51240355,.0069930837,,,10.514467,10.82049
NY,ALLEGANY,36003,1998,1,.33764067,1,0,0,49927,38012.875,.44825444,.0072305566,,35,10.54568,10.818317
NY,ALLEGANY,36003,2000,1,.49996024,1,0,1,49927,38012.875,.44825444,.0072305566,,35,10.54568,10.818317
NY,BRONX,36005,1950,1,.53428876,1,0,0,1451277,3828.8464,.32599998,.068999998,1,34.400002,8.2503185,14.187954
NY,BRONX,36005,1952,1,.67884588,1,0,1,1445984.6,4277.6157,.32659999,.078200005,1,34.400002,8.3611507,14.184301
NY,BRONX,36005,1954,1,.46814272,1,0,0,1440692.3,4738.5938,.32720003,.087399997,1,34.400002,8.4634953,14.180634
NY,BRONX,36005,1956,1,.6257028,1,0,1,1435399.8,5196.1084,.32779998,.096599996,1,34.400002,8.555665,14.176954
NY,BRONX,36005,1958,1,.46192372,1,0,0,1430107.4,5645.7549,.32840002,.1058,1,34.400002,8.6386595,14.17326
NY,BRONX,36005,1960,1,.5944652,1,0,1,1424815,6102.7798,.32900003,.115,1,34.400002,8.7164993,14.169553
NY,BRONX,36005,1962,1,.46203229,1,0,0,1434190,6612.1841,.34260002,.1406,1,33.540001,8.796669,14.176111
NY,BRONX,36005,1964,1,.56105447,1,0,1,1443565,7120.9492,.35620004,.16619998,1,32.68,8.8707962,14.182627
NY,BRONX,36005,1966,1,.45693868,1,0,0,1443565,7109.4956,.35620004,.16619998,1,32.68,8.8691864,14.182627
NY,BRONX,36005,1968,1,.46425971,1,0,1,1462315,8117.4707,.38339999,.2174,1,30.960001,9.0017738,14.195531
NY,BRONX,36005,1970,1,.3897157,1,0,0,1471690,8600.71,.39700001,.24299999,1,30.1,9.0595999,14.201922
NY,BRONX,36005,1972,1,.48177087,1,0,1,1411146.4,9577.4629,.37695351,.25815687,1,30.139999,9.1671677,14.159913
NY,BRONX,36005,1974,1,.27831689,1,0,0,1350602.8,10546.129,.35690704,.27331376,1,30.18,9.2635145,14.116061
NY,BRONX,36005,1976,1,.37899265,1,0,1,1290059.3,11497.477,.33686054,.28847063,1,30.219999,9.3498831,14.070199
NY,BRONX,36005,1978,1,.25219083,1,0,0,1229515.6,12454.581,.31681406,.30362749,1,30.26,9.4298439,14.022131
NY,BRONX,36005,1980,1,.34190741,1,0,1,1168972,13406.857,.29676759,.31878436,1,30.299999,9.5035219,13.971635
NY,BRONX,36005,1982,1,.25031355,1,0,0,1175935.4,15873.391,.35441408,.32969159,,,9.6723995,13.977574
NY,BRONX,36005,1984,1,.39467815,1,0,1,1182898.8,18353.379,.41206056,.34059879,,,9.8175688,13.983479
NY,BRONX,36005,1986,1,.23101433,1,0,0,1189862.3,21334.627,.46970704,.35150596,,,9.9680862,13.989348
NY,BRONX,36005,1988,1,.34514093,1,0,1,1196825.6,23315.674,.52735353,.36241317,,,10.056881,13.995183
NY,BRONX,36005,1990,1,.17511488,1,0,0,1203789,25786.914,.58499998,.3733204,,,10.157622,14.000984
NY,BRONX,36005,1992,1,.34505379,1,0,1,1255333.4,27859.504,.48009408,.36656737,,,10.234929,14.042912
NY,BRONX,36005,1994,1,.19142656,1,0,0,1281105.6,28899.221,.42764106,.36319092,,,10.27157,14.063234
NY,BRONX,36005,1996,1,.31787425,1,0,1,1306877.8,29941.668,.37518811,.35981441,,,10.307007,14.083152
NY,BRONX,36005,1998,1,.20671524,1,0,0,1332650,30230.975,.32273513,.35643792,,31.200001,10.316623,14.10268
NY,BRONX,36005,2000,1,.34566301,1,0,1,1332650,30230.975,.32273513,.35643792,,31.200001,10.316623,14.10268
NY,BROOME,36007,1950,5,.52146173,.5714286,0,0,184698,3839.4468,.33900002,.0049999999,.74400002,32.200001,8.2530832,12.126477
NY,BROOME,36007,1952,5,.73273766,.56209153,0,1,190290.59,4408.1929,.3554,.0052,.74400002,32.040001,8.3912201,12.156307
NY,BROOME,36007,1954,5,.48178181,.56493509,0,0,195883.2,4988.8354,.37180001,.0054000001,.74400002,31.880001,8.5149574,12.185274
NY,BROOME,36007,1956,1,.70420086,1,0,1,201475.8,5565.5176,.38819999,.0055999998,.74400002,31.719999,8.6243448,12.213425
NY,BROOME,36007,1958,1,.55434722,1,0,0,207068.41,6133.3545,.40459999,.0058000004,.74400002,31.559999,8.7214975,12.240805
NY,BROOME,36007,1960,1,.71693397,1,0,1,212661,6708.8706,.42099997,.0060000001,.74400002,31.4,8.8111858,12.267455
NY,BROOME,36007,1962,1,.55179262,1,0,0,214491.8,7522.0679,.45579997,.0068000001,.74180001,31.039999,8.9255962,12.276027
NY,BROOME,36007,1964,1,.66318983,1,0,1,216322.59,8334.0254,.49059999,.0076000001,.7396,30.68,9.0281019,12.284526
NY,BROOME,36007,1966,1,.53539145,1,0,0,216322.59,8320.6211,.49059999,.0076000001,.7396,30.68,9.0264921,12.284526
NY,BROOME,36007,1968,1,.62734878,1,0,1,219984.2,9931.0361,.56019998,.0092000002,.73520005,29.960001,9.2034197,12.301311
NY,BROOME,36007,1970,1,.51614535,1,0,0,221815,10709.692,.59500003,.0099999998,.73300004,29.6,9.2789049,12.309599
NY,BROOME,36007,1972,1,.64150035,1,0,1,220181.59,12612.113,.55896074,.011057365,.73294389,29.98,9.4424133,12.302208
NY,BROOME,36007,1974,1,.49743086,1,0,0,218548.2,14499.77,.5229215,.012114731,.73288774,30.360001,9.5818882,12.294762
NY,BROOME,36007,1976,1,.59369421,1,0,1,216914.8,16359.309,.48688224,.013172096,.7328316,30.74,9.7025528,12.28726
NY,BROOME,36007,1978,1,.44554052,1,0,0,215281.41,18223.236,.45084301,.014229462,.73277545,31.120001,9.8104525,12.279701
NY,BROOME,36007,1980,1,.56469518,1,0,1,213648,20077.184,.41480377,.015286827,.73271924,31.5,9.9073391,12.272085
NY,BROOME,36007,1982,1,.47492591,1,0,0,213350.41,23297.199,.48964301,.016314114,,,10.056088,12.270691
NY,BROOME,36007,1984,1,.59946245,1,0,1,213052.8,26538.508,.56448227,.017341401,,,10.186352,12.269296
NY,BROOME,36007,1986,1,.42337516,1,0,0,212755.2,30497.078,.63932151,.018368689,,,10.325386,12.267898
NY,BROOME,36007,1988,1,.59308511,1,0,1,212457.59,33026.367,.71416074,.019395977,,,10.405062,12.266498
NY,BROOME,36007,1990,1,.42585877,1,0,0,212160,36256.934,.78900003,.020423265,,,10.498386,12.265096
NY,BROOME,36007,1992,1,.61729175,1,0,1,207510.41,40093.941,.69137782,.02536881,,,10.598981,12.242937
NY,BROOME,36007,1994,1,.46147609,1,0,0,205185.59,42016.676,.64256674,.027841585,,,10.645822,12.23167
NY,BROOME,36007,1996,1,.54912639,1,0,1,202860.8,43943.078,.59375566,.030314358,,,10.69065,12.220275
NY,BROOME,36007,1998,1,.42267805,1,0,0,200536,44754.297,.54494452,.032787129,,38.200001,10.708942,12.208749
NY,BROOME,36007,2000,1,.56986809,1,0,1,200536,44754.297,.54494452,.032787129,,38.200001,10.708942,12.208749
NY,CATTARAUGUS,36009,1950,5,.52928877,.26086956,0,0,77901,3140.8838,.35099998,.017000001,.40700001,30.5,8.0522594,11.263194
NY,CATTARAUGUS,36009,1952,5,.73763603,.26086956,0,1,78358.203,3621.3545,.35939997,.0148,.40700001,30.48,8.194603,11.269046
NY,CATTARAUGUS,36009,1954,5,.55445254,.2647059,0,0,78815.398,4111.5137,.3678,.0126,.40700001,30.459999,8.3215466,11.274863
NY,CATTARAUGUS,36009,1956,5,.71696043,.2647059,0,1,79272.602,4598.3691,.37619999,.010400001,.40700001,30.440001,8.4334574,11.280648
NY,CATTARAUGUS,36009,1958,5,.55595374,.2647059,0,0,79729.797,5077.8677,.38459998,.008200001,.40700001,30.42,8.5326471,11.286399
NY,CATTARAUGUS,36009,1960,5,.75763518,.2647059,0,1,80187,5563.6836,.39300001,.0060000001,.40700001,30.4,8.6240158,11.292117
NY,CATTARAUGUS,36009,1962,5,.54335523,.2647059,0,0,80482.797,6224.6841,.41899997,.0060000001,.39700001,29.98,8.7362776,11.295798
NY,CATTARAUGUS,36009,1964,5,.64724624,.27536231,0,1,80778.602,6884.6841,.44499999,.0060000001,.38699999,29.559999,8.8370543,11.299467
NY,CATTARAUGUS,36009,1966,5,.52335584,.27941176,0,0,80778.602,6873.6108,.44499999,.0060000001,.38699999,29.559999,8.8354445,11.299467
NY,CATTARAUGUS,36009,1968,1,.58230507,1,1,1,81370.203,8182.5747,.49700001,.0060000001,.36700001,28.719999,9.0097618,11.306765
NY,CATTARAUGUS,36009,1970,1,.49653777,1,0,0,81666,8815.2354,.523,.0060000001,.35699999,28.299999,9.0842371,11.310393
NY,CATTARAUGUS,36009,1972,1,.59632796,1,0,1,82472.203,10518.703,.49239558,.0061536068,.35455924,28.599998,9.26091,11.320216
NY,CATTARAUGUS,36009,1974,1,.46960095,1,0,0,83278.398,12209.075,.46179119,.0063072126,.35211849,28.9,9.409935,11.329945
NY,CATTARAUGUS,36009,1976,1,.57568061,1,0,1,84084.602,13874.992,.43118677,.0064608194,.34967774,29.199999,9.5378437,11.339579
NY,CATTARAUGUS,36009,1978,1,.42906931,1,0,0,84890.797,15543.961,.40058234,.0066144252,.34723699,29.5,9.6514273,11.349121
NY,CATTARAUGUS,36009,1980,1,.54503191,1,0,1,85697,17203.922,.36997795,.0067680315,.34479621,29.799999,9.7528925,11.358573
NY,CATTARAUGUS,36009,1982,1,.4546777,1,0,0,85404.398,19451.309,.44498238,.0072117997,,,9.8756695,11.355153
NY,CATTARAUGUS,36009,1984,1,.57064366,1,0,1,85111.797,21718.176,.51998675,.007655567,,,9.9859047,11.351721
NY,CATTARAUGUS,36009,1986,1,.42987669,1,0,0,84819.203,24563.584,.59499121,.0080993352,,,10.10902,11.348277
NY,CATTARAUGUS,36009,1988,1,.53343481,1,0,1,84526.602,26258.318,.66999555,.0085431021,,,10.175738,11.344822
NY,CATTARAUGUS,36009,1990,1,.35865951,1,0,0,84234,28518.531,.745,.0089868698,,,10.258309,11.341354
NY,CATTARAUGUS,36009,1992,1,.57352298,1,0,1,84122.398,32988.406,.63143212,.0096324887,,,10.403912,11.340028
NY,CATTARAUGUS,36009,1994,1,.42804748,1,0,0,84066.602,35225.75,.5746482,.0099552982,,,10.469533,11.339365
NY,CATTARAUGUS,36009,1996,1,.51377374,1,0,1,84010.797,37465.723,.51786429,.010278109,,,10.531181,11.3387
NY,CATTARAUGUS,36009,1998,1,.36898765,1,0,0,83955,38740.027,.46108031,.010600917,,37.400002,10.564629,11.338037
NY,CATTARAUGUS,36009,2000,1,.55165184,1,0,1,83955,38740.027,.46108031,.010600917,,37.400002,10.564629,11.338037
NY,CAYUGA,36011,1950,5,.61324972,.375,0,0,70136,3257.4875,.308,.015,.477,32.700001,8.0887117,11.158192
NY,CAYUGA,36011,1952,5,.80177915,.36363637,0,1,70897.203,3728.7273,.31920001,.0156,.477,32.5,8.2238226,11.168986
NY,CAYUGA,36011,1954,5,.61519855,.38235295,0,0,71658.398,4210.0938,.33040002,.0162,.477,32.299999,8.3452406,11.179666
NY,CAYUGA,36011,1956,5,.80743092,.37681159,0,1,72419.602,4688.1455,.3416,.016799999,.477,32.100002,8.4527922,11.190232
NY,CAYUGA,36011,1958,5,.67899555,.37681159,0,0,73180.797,5158.7847,.35280001,.0174,.477,31.900002,8.5484562,11.200688
NY,CAYUGA,36011,1960,5,.83484286,.37681159,0,1,73942,5635.9121,.36400002,.017999999,.477,31.700001,8.6369143,11.211037
NY,CAYUGA,36011,1962,5,.63743263,.38571429,0,0,74641.398,6450.7432,.39460003,.018999999,.47100002,31.1,8.7719507,11.22045
NY,CAYUGA,36011,1964,5,.7537452,.3943662,0,1,75340.797,7264.2534,.42520002,.02,.465,30.5,8.8907204,11.229777
NY,CAYUGA,36011,1966,5,.61524057,.3943662,0,0,75340.797,7252.5693,.42520002,.02,.465,30.5,8.8891115,11.229777
NY,CAYUGA,36011,1968,1,.66403949,1,1,1,76739.602,8866.6914,.48640001,.022,.45299998,29.300001,9.0900574,11.248173
NY,CAYUGA,36011,1970,1,.57916474,1,0,0,77439,9649.501,.51700002,.023,.447,28.700001,9.1746616,11.257246
NY,CAYUGA,36011,1972,1,.68251956,1,0,1,77930,11510.765,.48695973,.023191348,.43907794,29.060001,9.351038,11.263566
